L5	S1	S2	S3	S4	S5	S6
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266	0.010183005197662251	0.0060119151965140685	5.2001230007112185e-05	0.00043856115142854686	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella	0.000633217036983363	2.324192254508405e-15	0.09277166705674383	0.2422974393596156	0.00012123233853954084	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus	0.0	0.0	0.0	0.0	0.0	0.06295049217990409
Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	0.0	0.002761239820040844	0.057447740056581716	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A	0.6641391573024091	0.0	0.06587020645375943	0.08119275655286529	0.013908265825322421	0.003284364209976335
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter	0.0	0.0	0.0	0.0	0.00012375571042653896	0.0005026344059133668
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides	0.0	0.3977725168844659	0.008286940756601758	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Aphodomorpha	0.0	0.009271017342813449	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	1.4696117686536936e-13	0.10640821607573293	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.00014713523245492974	0.029576360720999496	7.27260833911368e-05	1.1144443051543	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella	0.0	0.0001340113462152979	4.685671952615947	0.0	0.0	3.0615223240849706e-05
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.42497240022177396	0.02762822296696513	0.007402932527583274	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398	4.47382159262221e-05	0.01166582086205867	0.0025289687789271462	2.9652492789350108e-05	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	0.0	0.037284801357376315	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola	0.009974396992892903	0.0023715016685458635	4.222673159973667e-05	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820;?	2.091420509023353e-09	0.00015562337786561152	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_T	0.0	0.0	0.0033078968165935765	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;BX12	0.0	0.0	0.0	0.0	0.0	1.3976862639217443e-05
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;1XD42-69	0.0003457912558871012	0.000835812674557594	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	0.025351263676416737	0.011414980017861322	0.00010683342052062514	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas	0.0035911916716212995	0.0	0.0008242453751235678	2.4259731961662365e-06	6.844786223442193e-05	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola	0.0	0.0	0.0	9.340426835333199e-05	0.0	8.899093131656455e-06
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;?	0.0011080018119525325	0.005125134728448024	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Scatavimonas	0.03140479094875356	0.0	0.0	0.0	0.0	0.0005823811612683002
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	0.019193526085790592	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium_P	0.0	0.030635768183848975	3.476507541678712e-16	0.0	6.676434924575083e-06	0.22685286153638443
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;?	0.0003930079611006217	0.0	0.0	2.907815296110349e-05	0.0	1.2213826066367507e-13
Bacteria;Firmicutes;Bacilli;RF39;UBA660;Aphodocola	0.0019885437169790262	0.02795427977496174	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;UMGS995	0.0	0.007352681407743117	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;HGM10766	0.0007713113042332099	0.001641047904334873	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;CAG-269	0.08434924299827656	0.06887712189562083	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QAND01;UMGS1975	0.0026218543927541533	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Macrococcus_B	0.0	0.0	4.957692658951057e-05	0.0	0.0	0.0
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Varibaculum	0.0024366549437694358	0.0	0.0	0.0	0.003614013889554778	0.011112421924682718
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;?	0.0024479875341073456	0.00910984691670278	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-977;UBA11549	0.0	0.008918455655784733	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;CAG-239;51-20	0.03181853770016619	0.013470888726770373	0.0	1.2415287464400591e-08	0.0	0.0
Bacteria;Verrucomicrobiota;Kiritimatiellae;RFP12;UBA1067;RUG572	0.0	0.01663819295994696	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1242;UMGS687	0.0	0.0044350960607215245	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium	0.0038336889739459907	3.476970325306723e-13	0.00025716688441979323	0.00044193861306101017	0.0	0.0
Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	0.023085679756481875	0.0009853834077226556	0.0030826778339619037	0.02216816163696383	0.00019726492268458968	2.0740210677273923e-13
Bacteria;Firmicutes_A;Clostridia;Christensenellales;UBA1750;Spyradocola	0.0012409649942521804	0.004093816352062966	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A	0.021161691744560143	0.006514015129628297	0.0009445811035942006	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA9506;UBA9506	0.0003026990646980893	0.0002810550720295398	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-762	0.0	0.00714417008453788	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.010534095295404501	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0.0	0.003990112918763066	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RFN20;CAG-449;CAG-449	0.00019246537027749685	0.0073957166211010205	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.9990870629426005	0.05814738369712853	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;UBA1390;Faecimorpha	6.933394103456071e-05	0.001044822157256382	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;QAKL01	0.00024734092481759753	0.00040568225196063555	5.172679220677247e-05	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	3.38719424234763e-08	0.0	0.0034844613212651663	3.8257787499956843	2.8820355713478606e-08	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;?	0.001142230636542472	0.00018811928511855278	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.0	1.1508796988748371e-05	0.0	0.0	0.0006204056757858263	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;CAIFEU01	9.922790520715585e-06	9.46642733346502e-07	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UMGS1590	0.0011661723774019223	0.0012254314867523705	0.0	0.0	5.689140901173951e-05	0.0
Bacteria;?;?;?;?;?	0.0	0.0002733633946517538	0.0	0.0	0.0	0.0
