	is_monodominant	signature_name
Baek179.M	False	
Baek180.12M	False	
Baek180.4M	False	
Baek180.B	True	S6
Baek180.M	False	
Baek181.12M	False	
Baek181.4M	False	
Baek181.B	False	
Baek181.M	False	
Baek184.12M	False	
Baek184.4M	False	
Baek184.B	False	
Baek184.M	False	
Baek195.12M	False	
Baek195.4M	False	
Baek195.B	True	S4
Baek195.M	False	
Baek201.12M	False	
Baek201.4M	False	
Baek201.B	False	
Baek201.M	False	
Baek203.12M	True	S4
Baek203.4M	False	
Baek203.B	False	
Baek203.M	False	
Baek224.12M	False	
Baek224.4M	False	
Baek224.B	False	
Baek224.M	False	
Baek229.12M	False	
Baek229.4M	False	
Baek229.B	False	
Baek229.M	False	
Baek238.12M	False	
Baek238.4M	False	
Baek238.B	False	
Baek238.M	False	
Baek240.12M	False	
Baek240.4M	False	
Baek240.B	True	S5
Baek240.M	False	
Baek241.12M	False	
Baek241.4M	False	
Baek241.B	True	S6
Baek241.M	False	
Baek244.12M	False	
Baek244.4M	False	
Baek244.B	False	
Baek244.M	True	S3
Baek256.12M	False	
Baek256.4M	True	S5
Baek256.B	True	S5
Baek256.M	False	
Baek258.12M	False	
Baek258.4M	False	
Baek258.B	True	S5
Baek258.M	False	
Baek263.12M	False	
Baek263.4M	False	
Baek263.B	False	
Baek263.M	False	
Baek265.12M	False	
Baek265.4M	True	S5
Baek265.B	True	S6
Baek265.M	False	
Baek268.12M	False	
Baek268.4M	False	
Baek268.B	False	
Baek268.M	False	
Baek272.12M	False	
Baek272.4M	True	S4
Baek272.B	False	
Baek272.M	False	
Baek274.12M	True	S4
Baek274.4M	False	
Baek274.B	True	S5
Baek274.M	False	
Baek275.12M	False	
Baek275.4M	True	S5
Baek275.B	True	S4
Baek275.M	False	
Baek276.12M	False	
Baek276.4M	False	
Baek276.B	False	
Baek276.M	False	
Baek281.12M	False	
Baek281.4M	False	
Baek281.B	False	
Baek281.M	False	
Baek282.12M	False	
Baek282.4M	False	
Baek282.B	False	
Baek282.M	False	
Baek326.12M	False	
Baek326.4M	False	
Baek326.B	False	
Baek326.M	False	
Baek332.12M	False	
Baek332.4M	False	
Baek332.B	False	
Baek332.M	False	
Baek335.12M	False	
Baek335.4M	False	
Baek335.B	False	
Baek335.M	False	
Baek338.12M	False	
Baek338.4M	False	
Baek338.B	False	
Baek338.M	False	
Baek341.12M	False	
Baek341.4M	False	
Baek341.B	False	
Baek341.M	False	
Baek343.12M	False	
Baek343.4M	False	
Baek343.B	True	S5
Baek343.M	False	
Baek345.12M	False	
Baek345.4M	False	
Baek345.B	False	
Baek345.M	False	
Baek350.12M	False	
Baek350.4M	False	
Baek350.B	False	
Baek350.M	False	
Baek367.12M	False	
Baek367.4M	False	
Baek367.B	False	
Baek367.M	False	
Baek377.12M	False	
Baek377.4M	False	
Baek377.B	True	S5
Baek377.M	False	
Baek383.12M	False	
Baek383.4M	False	
Baek383.B	True	S5
Baek383.M	False	
Baek385.12M	False	
Baek385.4M	True	S5
Baek385.B	True	S6
Baek385.M	True	S2
Baek387.12M	False	
Baek387.4M	False	
Baek387.B	False	
Baek387.M	False	
Baek397.12M	False	
Baek397.4M	True	S5
Baek397.B	True	S5
Baek397.M	False	
Baek503.12M	False	
Baek503.4M	False	
Baek503.B	True	S5
Baek503.M	False	
Baek504.12M	False	
Baek504.4M	True	S6
Baek504.B	True	S6
Baek504.M	False	
Baek507.12M	False	
Baek507.4M	False	
Baek507.B	True	S5
Baek507.M	False	
Baek511.12M	True	S4
Baek511.4M	False	
Baek511.B	False	
Baek511.M	False	
Baek521.12M	False	
Baek521.4M	False	
Baek521.B	True	S5
Baek521.M	False	
Baek526.12M	False	
Baek526.4M	False	
Baek526.B	True	S6
Baek526.M	False	
Baek527.12M	False	
Baek527.4M	False	
Baek527.B	True	S5
Baek527.M	False	
Baek532.12M	False	
Baek532.4M	False	
Baek532.B	True	S6
Baek532.M	False	
Baek536.12M	False	
Baek536.4M	False	
Baek536.B	True	S6
Baek536.M	False	
Baek544.12M	False	
Baek544.4M	False	
Baek544.B	True	S6
Baek544.M	False	
Baek546.12M	False	
Baek546.4M	False	
Baek546.B	True	S5
Baek546.M	False	
Baek549.12M	False	
Baek549.4M	False	
Baek549.B	False	
Baek549.M	False	
Baek560.12M	True	S4
Baek560.4M	False	
Baek560.B	True	S6
Baek560.M	False	
Baek565.12M	False	
Baek565.4M	False	
Baek565.B	False	
Baek565.M	False	
Baek566.12M	False	
Baek566.4M	True	S5
Baek566.B	False	
Baek566.M	False	
Baek567.12M	False	
Baek567.4M	False	
Baek567.B	False	
Baek567.M	False	
Baek570.12M	False	
Baek570.4M	False	
Baek570.B	True	S4
Baek570.M	False	
Baek572.12M	False	
Baek572.4M	False	
Baek572.B	False	
Baek572.M	False	
Baek577.12M	False	
Baek577.4M	False	
Baek577.B	False	
Baek577.M	False	
Baek582.12M	False	
Baek582.4M	False	
Baek582.B	True	S4
Baek582.M	False	
Baek585.12M	False	
Baek585.4M	True	S5
Baek585.B	True	S6
Baek585.M	False	
Baek587.12M	True	S4
Baek587.4M	False	
Baek587.B	True	S4
Baek587.M	False	
Baek589.12M	False	
Baek589.4M	False	
Baek589.B	True	S5
Baek589.M	False	
Baek590.12M	False	
Baek590.4M	False	
Baek590.B	False	
Baek590.M	False	
Baek591.12M	False	
Baek591.4M	False	
Baek591.B	False	
Baek591.M	False	
Baek598.12M	False	
Baek598.4M	False	
Baek598.B	True	S6
Baek598.M	False	
Baek599.12M	False	
Baek599.4M	True	S5
Baek599.B	False	
Baek599.M	False	
Baek608.12M	False	
Baek608.4M	False	
Baek608.B	False	
Baek608.M	False	
Baek615.12M	False	
Baek615.4M	False	
Baek615.B	False	
Baek615.M	False	
Baek622.12M	False	
Baek622.4M	True	S5
Baek622.B	False	
