L5	S1	S2	S3	S4	S5	S6
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.1790698935834836	0.0446246022781299	0.0048835386643550785	0.0	0.2041988493580862	0.5672231161159452
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.6805076620172134	0.3071990061051409	0.011760102702931496	0.0005332291747142034	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	0.3720684280546169	0.05535117845287358	0.0	0.0	0.0	0.5725803934925096
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0.5045247281539554	0.0	0.0	0.0	0.4751567343554604	0.020318537490584137
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QALW01;QALW01	0.3746467047783278	0.6253532952216723	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma	0.6192779996671303	0.3807220003328696	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAJFUR01	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	0.9024183573191354	4.0092257266541607e-08	0.019388915811656627	0.07819266331603855	0.0	2.346091213727416e-08
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0.018605339581912964	0.9138983556382964	0.06749630477979063	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas	0.37945754527420883	0.0	0.41510429321976444	0.2054381615060268	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Cellulosilyticaceae;Niameybacter	0.0	0.0	0.0	0.0	0.014674312403471682	0.9853256875965283
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium	0.02172841739609465	0.0	0.0	0.03363151416932325	0.0006835294237081172	0.9439565390108741
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;?	0.4296822300791646	0.5594944801919433	0.00016777452001978313	0.0006980685587224838	0.0	0.009957446650149894
