L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.2158751726937761	0.008271537910939044	0.0	0.023618466464924586	0.0	0.02208904108434236	0.012964089304932022	0.7171816925410859
Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister	0.0	0.518639866469271	0.07452302951753481	0.39094339873918865	0.01141848229749371	0.0	0.004475222976511876	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enteroscipio	0.0	0.0	0.0	0.17685411028053047	0.0	0.0	0.8231458897194696	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola	0.0	0.0	0.4622223208726852	0.5377776791273147	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Massiliomicrobiota	0.0	0.0	0.0	0.05842036306490836	9.590055750486803e-14	0.0	0.9415796369349958	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q	0.0	0.07643207751071636	0.01890692096978691	0.40133648802727273	0.09077185661481338	0.0	0.4125526568774105	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A	0.0	0.3337077684533205	0.5525346193340395	0.11375761220750852	5.131478102990902e-12	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Aphodovivens	0.0	0.13754977639259913	0.7989138745920075	0.06353634901539341	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Mesosutterella	0.007090465028434007	0.1562364159130608	2.062356093179352e-06	0.20335396024242428	0.6304907586953978	0.0	0.002826337764589895	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	0.0	0.36416742414993863	0.0	0.22834821007375353	0.06669055181852869	0.0	0.34079381395777913	0.0
