L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q	0.0	0.007205252296966507	0.001782355526408673	0.03783399256430699	0.008557063338780736	0.0	0.03889134085317547	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A	0.0	0.04053148731544559	0.06710976498593207	0.013816775191042548	6.232592085130196e-13	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Aphodovivens	0.0	0.0001910587656252543	0.0011097037212533844	8.825297091409562e-05	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Mesosutterella	0.0001604096930317097	0.0035345827694638165	4.665729349236223e-08	0.004600536947641386	0.014263779407427034	0.0	6.39410774051762e-05	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	0.0	0.022206277279109458	0.0	0.01392426486504823	0.00406667040314214	0.0	0.02078099639312003	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Pullichristensenella	0.0	0.0	0.0002799517175042404	0.0	0.0	0.0	0.001135870466613168	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266	0.0	3.732333090027735e-05	0.007395791807835146	0.00945463239492575	0.0006102029819612334	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella	0.001232015609216165	0.08707409171533692	2.7326195534117685e-12	0.005414571440560195	0.23462956580746455	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07570729841965422
Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	0.0	0.05719513348757142	0.00243877352400882	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A	0.0	0.04181606331115371	2.519990471026688e-10	0.40652974406010606	2.084947009948683e-05	0.0	0.7457511578209899	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter	0.0	0.0	0.0	0.0	0.0	0.00016742738590099117	0.0006787977242175107	1.5818908031754168e-05
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides	0.0	0.01089108325765719	0.3819799202016205	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Aphodomorpha	0.0	0.0	0.008964054488943952	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	0.0	0.0	0.1028850461287911	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.0	3.663679312360958e-12	0.03225846787576637	4.478521590549263e-11	1.086526222064062	0.0	1.201572315734312e-06	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella	0.0	4.646011041594811	4.9230774396119664e-15	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.0	0.0012515846089576471	0.03459277339832877	0.44811746082536413	0.0	0.0	8.462285819540757e-14	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398	0.0	0.002112798603206518	0.011771728543078392	4.560716856194275e-08	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	0.0	0.0	0.03605030371732075	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola	0.0	2.9529889725896994e-11	0.002133957816305261	0.01069482937843163	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820;?	0.0	0.0	0.00015047375393194612	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_T	0.00046740490512240654	0.0007906131984118708	9.189136116908215e-13	0.0	0.0	0.0	0.0025613673187058444	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;BX12	0.0	0.0	0.0	0.0	0.0	0.0	2.1629566107574235e-05	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;1XD42-69	0.0	0.0	0.0008071281603001817	0.00036647967632991683	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	0.0	0.0	0.013241785289707639	0.021480114810065357	0.0	0.0	0.006992503858800653	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas	0.0	0.0	0.0	0.0006982446929312097	0.0	0.0	0.006867472376834284	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola	0.0	0.0	0.0	0.0	9.204191962836094e-05	0.0	0.0	9.391020140225744e-06
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;?	0.0	0.0	0.00527721309390273	0.0007114453228352681	0.0	0.0	0.00041740631953948905	0.0
