	model_fit
FB206	0.35852736471043356
FB203	0.8311799735748221
FB201	0.321712922008265
FB199	0.3740392980240842
FB197	0.9509570516005079
FB196	0.9676207941730784
FB195	0.2592099730656299
FB194	0.3100223499509518
FB193	0.7892176352503755
FB192	0.15302842787213827
FB190	0.2962584942335462
FB189	0.277832926625692
FB186	0.018040054186678825
FB182	0.4274035432788257
FB165	0.5173580958530454
FB164	0.24489317326324173
FB163	0.36298264176147416
FB162	0.47926506792967055
FB161	0.47460501577047204
FB160	0.46725261918306144
FB159	0.8385301149609168
FB158	0.9098247332066848
FB156	0.38904851865182816
FB155	0.9720028022876853
FB154	0.35264447701095963
FB152	0.47758349505137015
FB151	0.583949974670026
FB150	0.48760055374752004
FB149	0.8237758064642665
FB148	0.4755046769996495
FB147	0.4650058886525415
FB146	0.7429660833654225
FB145	0.6735279178707438
FB144	0.6769837303149446
FB143	0.2264164925140628
FB142	0.4177347314959379
FB141	0.6221559680714256
FB140	0.9805492083251212
FB139	0.6289262637590253
FB138	0.9659075451777795
FB137	0.6959234854312069
FB136	0.29850627984909933
FB135	0.6882978420949063
FB134	0.46087251731577633
FB133	0.7074541228390814
FB132	0.37205460065717344
FB131	0.4052768665418531
FB130	0.25427637396895697
FB128	0.5228606616473572
FB127	0.8317789751508895
FB126	0.4200435276708493
FB125	0.31961717504916215
FB124	0.5331736434462357
FB123	0.2916484660022044
FB122	0.7881807107349178
FB121	0.44812761419029024
FB120	0.8592601368308262
FB119	0.9368722978392897
FB118	0.9843129382217713
FB117	0.2843355393184627
FB116	0.9828693980347816
FB115	0.335759495683998
FB114	0.5388982926145679
FB113	0.5144573922888801
FB112	0.3370656469645222
FB111	0.9468622141911408
FB110	0.6192198252665692
FB109	0.6776074901153788
FB108	0.267978060201594
FB107	0.11746781269780229
FB106	0.762405704720558
FB105	0.41480936114647016
FB104	0.8460240397258699
FB103	0.503540259613768
FB102	0.799395698465539
FB101	0.603079916699722
FB100	0.47864474321034717
FB099	0.9545254162625527
FB097	0.49505045964356686
FB096	0.39438085785120985
FB095	0.8740148609503441
FB094	0.9802284096140226
FB093	0.16283691264013903
FB092	0.26806133754845746
FB091	0.9677207025762465
FB090	0.9620337026169864
FB089	0.6905488648831742
FB088	0.4852808065278095
FB087	0.7792297697232374
FB086	0.22952629944752287
FB085	0.40337736758157494
FB084	0.6675272249972086
FB083	0.46529909265138203
FB082	0.2677610869290093
FB081	0.41210640553649963
FB080	0.672760110852924
FB079	0.5011220334168125
FB078	0.29920809813466975
FB077	0.329869558794175
FB076	0.1784071353926181
FB074	0.2775477414711713
FB073	0.01739880375982488
FB072	0.3600240246708344
FB069	0.8389037445014869
FB068	0.267068165396695
FB067	0.6235816714946428
FB066	0.1249171428031607
FB065	0.6974488973102188
FB064	0.4830502683275666
FB062	0.7063192668882153
FB061	0.5432308717806983
FB059	0.43845958352116177
FB058	0.32318030719654084
FB057	0.3403626086032715
FB056	0.4816568279233024
FB055	0.5980921426611513
FB054	0.8635503499309268
FB052	0.4070322110784503
FB051	0.5609915258817192
FB050	0.5079660408112748
FB049	0.3987957320947698
FB048	0.7850366345866476
FB047	0.5564705773642608
FB046	0.7119573794413715
FB045	0.6440620357833516
FB043	0.8909857602684143
FB041	0.42185571955952916
FB040	0.5697843250566644
FB039	0.2560144358982455
FB037	0.09178314907870684
FB036	0.9351262081696909
FB034	0.5624128633380028
FB033	0.5552845484657702
FB032	0.3229943659136175
FB031	0.17647445759357516
FB029	0.5109854305781683
FB028	0.5661314423177457
FB027	0.3904891368943033
FB026	0.5990157902690838
FB025	0.31725532335503215
FB024	0.35047425998193754
FB023	0.401102709209646
FB022	0.3046743064289772
FB021	0.5411838158104608
FB020	0.9429716812675945
FB019	0.4006072943387857
FB018	0.23467580881287234
FB015	0.5202713767860809
FB014	0.5550553734564124
FB013	0.228802206524232
FB012	0.5073743685727461
FB011	0.5569877820485972
FB010	0.21094967303536954
FB009	0.34011816636297076
FB008	0.735852848797318
FB007	0.4587078767909574
FB005	0.15862935714713805
FB004	0.9473587849417244
FB002	0.8411408642838469
DC102	0.4714494223628332
DC101	0.41283552463006795
DC100	0.2655319673435536
DC099	0.8313192705311828
DC098	0.4831329471703
DC097	0.41565654081036485
DC096	0.791471333711158
DC095	0.6805279965271667
DC094	0.2910373318678813
DC093	0.28293878666994143
DC092	0.45033820933088636
DC091	0.5203576637991696
DC090	0.8067059959055342
DC089	0.6617103426365888
DC088	0.6340774008928274
DC087	0.9338341645187552
DC086	0.5205315221373905
