L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAJFUR01	0.0	0.0	0.0007779199418653667	6.672543820285133e-05	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	0.0	0.0	0.5913033740621144	0.0008093525101068356	0.0	0.00919860392038264	0.009337261633887045
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0.0	0.0	0.0	0.001861472716616131	0.0	0.004752616587285939	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas	0.0	0.0	0.05862747405674453	4.930676353149525e-10	0.009900337608706417	0.020347203224104417	0.012271009983966909
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Cellulosilyticaceae;Niameybacter	0.000804658401984503	0.00802504005047451	7.566629380234108e-08	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Erysipelatoclostridium	0.0009280557581484579	0.25585369065947516	0.02016586772398525	0.0	3.001442522296298e-07	0.0	0.005673906390569934
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;?	0.0	5.7102002573324654e-05	0.009124877665452122	0.005065065754429777	0.0	0.0040120806161925695	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAG-1427	0.0	0.0	0.03059484779357644	0.0246038105331021	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	0.0002521581030561807	0.24283933574082403	0.0	0.0	0.03475007698678456	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum	0.0	0.0	0.0239514655463049	0.012558236092742148	0.0	0.0059158001030688336	0.004316266279904345
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium	0.0	0.0	0.03724563856959281	0.0	2.1000394615268243e-05	0.17270099928333144	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Christensenellaceae;QANA01	0.0	0.0	0.00024685660077263904	0.0006295904059708425	0.0	0.0	0.0
