L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.024614188447020926	0.7198492972062298	0.04455843735008559	5.29472507224078e-10	0.2099839163902867	0.0009941600769043319	0.0
Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister	0.0	0.0	0.4301097586778005	0.052387641396065374	2.499474218153998e-12	0.5131124015893993	0.004390198334235318
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enteroscipio	0.0	0.0	0.5760962858303988	0.405373283088172	0.018530431081429027	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola	0.0	0.0	0.1770304444212116	0.8229685177200958	0.0	1.0378586924957173e-06	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Massiliomicrobiota	0.0	0.0	0.9999996307336313	0.0	0.0	0.0	3.6926636865465554e-07
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q	9.499491351040673e-07	0.05239739096975364	0.6153365546987616	0.01756785504320861	4.7214561874642114e-14	0.11962780072783909	0.1950694486112547
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A	0.0	0.0	0.05229806983849333	0.195036806788655	0.0	0.7510776076980832	0.001587515674768448
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Aphodovivens	0.0	0.0	7.378055938918006e-07	0.7293175038515842	0.0	0.2706817583428219	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Mesosutterella	1.3116252938883471e-05	0.0	0.11629918256883115	0.07822463932478395	0.053954945098487646	0.05051371719259443	0.700994399562364
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	0.0	0.0	0.5800745263527587	0.0027527085119460233	0.14214360473252904	0.18958154715060802	0.08544761325215817
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Pullichristensenella	0.0	0.0	0.1325784713040129	0.8674215286959872	0.0	0.0	0.0
Bacteria;Firmicutes_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266	0.0	0.0	0.13215037610522332	0.8262365688048988	0.0	0.0005784005195968475	0.041034654570281055
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Sutterella	0.0	0.0	9.435781194319686e-07	0.018250695320600807	0.03220505716542185	0.21859272010029523	0.7309505838355628
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus	6.189983974427482e-11	0.9999999999381002	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	0.0	0.0	0.0	0.003519929295092805	3.611437782843225e-07	0.9964797095611289	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A	2.5263372353302465e-13	0.0	0.9657433306792861	2.908379085751259e-05	0.010932416618062291	0.00467062354013777	0.018624545371403792
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter	0.6400143317679661	0.3599856679588375	0.0	0.0	2.731962938783088e-10	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides	0.0	0.0	0.0	0.012865252728577825	0.0	0.9871347472714221	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Aphodomorpha	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.005450951825661036	0.0	4.955573789927096e-07	0.04471622916668719	1.1317613969702354e-15	0.0033325091189264286	0.9464998143313452
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.0	0.0	0.7459616618981743	0.24900052229214129	0.0	0.005037815809684287	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398	0.0	0.0	0.0	0.3776536859364195	0.0	0.6223463083525635	5.7110170021726845e-09
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	0.0	0.0	0.0	0.6793015275097513	0.0	0.32069847249024863	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola	0.0	0.0	0.5442656040381875	0.3190290273557316	0.0	0.13670533774284097	3.0863239961227855e-08
